,Unnamed: 0,Unnamed: 0.1,make_model,short_description,price,km,hp,Type,First Registration,Body Color,Body,Gearing Type,Displacement,Fuel,CO2 Emission,Emission Class,consumption_comb,consumption_city,consumption_country,door_number,First_Registration
6021,6021,6021,Opel Astra,1.6 CDTi 110CV Start&Stop 5 porte Advance ITALIANA,10400,62000,81.0,Used,2017.0,Silver,Sedans,Manual,1.598,DIESEL,93,Euro 6,3.5,4.0,3.3,5,2017
6022,6022,6022,Opel Astra,1.6 CDTI DPF SpT Edition Nav PP SHZ EU6,10350,111450,81.0,Used,2016.0,Black,Station wagon,Manual,1.598,DIESEL,99,Euro 6,4.3,5.1,3.9,5,2016
6023,6023,6023,Opel Astra,"J Sports Tourer Selection, 85  (116 PS)",10350,44320,62.0,Used,2016.0,White,Station wagon,Manual,1.598,BENZINE,154,Euro 6,6.6,8.5,5.4,4,2016
6024,6024,6024,Opel Astra,SPORTSTOURER 1.6 CDi-100kwEURO 6- EXKLUSIV,10375,109000,100.0,Used,2016.0,Black,Station wagon,Manual,1.6,DIESEL,,,,,,4,2016
6025,6025,6025,Opel Astra,"J Sports Tourer Edition 1.6 CDTI Klima, Sicht Pake",10480,68868,81.0,Used,2016.0,Red,Station wagon,Manual,1.598,DIESEL,98,Euro 6,3.7,3.9,3.5,5,2016
6026,6026,6026,Opel Astra,Sports Tourer Astra ST Edition 1.6 CDTI ecoFlex Ko,10680,84893,81.0,Used,2016.0,Silver,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.5,4.0,3.2,5,2016
6027,6027,6027,Opel Astra,1.6CDTi S/S Selective 110,10500,91000,81.0,Used,2016.0,Grey,Sedans,Manual,1.598,DIESEL,107,Euro 6d-TEMP,3.7,4.2,3.3,5,2016
6028,6028,6028,Opel Astra,1.6CDTi S/S Selective 110,10500,69000,81.0,Used,2017.0,Black,Sedans,Manual,1.598,DIESEL,107,Euro 6d-TEMP,3.7,4.2,3.3,5,2017
6029,6029,6029,Opel Astra,-J 1.6 ST Edition **1.Hd.*Navi*PDC**,10595,95000,81.0,Used,2016.0,Grey,Station wagon,Manual,1.598,DIESEL,98,Euro 6,3.7,3.9,3.5,4,2016
6030,6030,6030,Opel Astra,Edition 1.6 CDTI EURO6 Klima,10590,80621,81.0,Used,2017.0,Silver,Sedans,Manual,1.598,DIESEL,93,Euro 6,3.4,3.9,3.1,5,2017
6031,6031,6031,Opel Astra,"K 5türig Selection Start Stop 1.0 Turbo, Bluetooth",10590,21215,77.0,Used,2016.0,White,Sedans,Manual,0.999,BENZINE,102,Euro 6,4.3,5.1,3.8,5,2016
6032,6032,6032,Opel Astra,1.6 Sports Tourer Edition Klima PDC BC CD,10580,67600,85.0,Used,2016.0,Blue,Station wagon,Manual,1.598,BENZINE,,,,,,4,2016
6033,6033,6033,Opel Astra,K Sports Tourer Start Stop 1.6 CDTI LED-Tagfahrlic,10650,87475,81.0,Used,2016.0,White,Station wagon,Manual,1.598,DIESEL,92,Euro 6,3.5,4.0,3.2,5,2016
6034,6034,6034,Opel Astra,1.6 CDTI SELECTIVE,10600,80000,81.0,Used,2017.0,Grey,Other,Manual,1.598,DIESEL,,,,,,5,2017
6035,6035,6035,Opel Astra,Sports Tourer Astra ST Edition 1.6 CDTI ecoFLEX EU,10580,91134,81.0,Used,2017.0,Blue,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.5,4.0,3.2,5,2017
6036,6036,6036,Opel Astra,1.0 Turbo Start/Stop Edition,10500,49900,77.0,Used,2016.0,White,Sedans,Manual,0.998,BENZINE,102,Euro 6,4.4,5.4,3.9,5,2016
6037,6037,6037,Opel Astra,"1,6 CDTI Ecotec Cool&Sound",10553,73009,70.0,Used,2016.0,White,Sedans,Manual,1.598,DIESEL,,Euro 6,,,,5,2016
6038,6038,6038,Opel Astra,K Sports Tourer Start Stop 1.6 CDTI LED-Tagfahrlic,10650,87475,81.0,Used,2016.0,White,Station wagon,Manual,1.598,DIESEL,92,Euro 6,3.5,4.0,3.2,5,2016
6039,6039,6039,Opel Astra,1.6 CDTI SELECTIVE,10525,81000,81.0,Used,2017.0,Silver,Other,Manual,1.696,DIESEL,,,,,,5,2017
6040,6040,6040,Opel Astra,J Sports Tourer Exklusiv NAVI~XENON~KAMERA,10598,56500,100.0,Used,2016.0,Silver,Station wagon,Manual,1.598,DIESEL,103,Euro 5,3.9,4.6,3.6,4,2016
6041,6041,6041,Opel Astra,1.6 D (CDTI DPF ecoFLEX) Start/Stop Excellence,10500,68000,100.0,Used,2016.0,Silver,Sedans,Manual,1.598,DIESEL,104,Euro 6,3.9,4.6,3.6,5,2016
6042,6042,6042,Opel Astra,1.6CDTi S/S Selective 110,10500,69000,81.0,Used,2016.0,Grey,Sedans,Manual,1.598,DIESEL,107,Euro 6,3.7,4.2,3.3,5,2016
6043,6043,6043,Opel Astra,1.6 CDTI DPF ecoFLEX Sports TourerStart/Stop Editi,10500,74000,100.0,Used,2016.0,Black,Station wagon,Manual,1.598,DIESEL,104,Euro 6,3.9,4.6,3.6,5,2016
6044,6044,6044,Opel Astra,1.6 CDTi 110CV Start,10500,78000,81.0,Used,2016.0,Green,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.6,4.0,3.3,5,2016
6045,6045,6045,Opel Astra,1.6 D (CDTI) Start/Stop Sports Tourer Edition,10500,68644,81.0,Used,2016.0,Black,Station wagon,Manual,1.598,DIESEL,,Euro 6,,,,5,2016
6046,6046,6046,Opel Astra,1.6 CDTI Elective 110CV,10500,68573,81.0,Used,2016.0,Silver,Station wagon,Manual,1.598,DIESEL,97,Euro 6,3.7,3.9,3.5,5,2016
6047,6047,6047,Opel Astra,1600 DIESEL SW,10500,91183,81.0,Used,2016.0,Silver,Station wagon,Manual,1.399,DIESEL,,,,,,5,2016
6048,6048,6048,Opel Astra,1.6 CDTI EcoFLEX S,10500,63500,81.0,Used,2016.0,Black,Station wagon,Manual,1.598,DIESEL,97,Euro 6,3.7,3.9,3.5,5,2016
6049,6049,6049,Opel Astra,1.6CDTi Selective 110cv 50.000 KMS GARANTIZADOS,10500,50000,81.0,Used,2016.0,Silver,Sedans,Manual,1.598,DIESEL,107,Euro 6d-TEMP,3.7,4.2,3.3,5,2016
6050,6050,6050,Opel Astra,5-TüRER. SELECTION 1.4.74,10490,43812,74.0,Used,2016.0,Blue,Sedans,Manual,1.399,BENZINE,,,,,,5,2016
6051,6051,6051,Opel Astra,K Lim. 5türig Selection,10490,49550,74.0,Used,2017.0,White,Sedans,Manual,1.399,BENZINE,128,Euro 6,5.4,7.3,4.2,4,2017
6052,6052,6052,Opel Astra,K ST 1.6 CDTI Innovation T-Leder Navi LED,10490,186346,118.0,Used,2016.0,Black,Station wagon,Manual,1.598,DIESEL,,,,,,4,2016
6053,6053,6053,Opel Astra,ST 1.6 CDTI Business Klima ZV Tempomat,10490,90000,70.0,Used,2016.0,White,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.6,4.2,3.3,5,2016
